Name,Address,Rating,Review Author,Review Text,Review Rating,Relative Time
Tim Hortons,"80 Park St E, Windsor, ON N9A 3A7, Canada",4.0,Cirrus Sanofi,"The first sure sign that you're in Canada. You will find a Tim Hortons right next to the tunnel. It was not possible to sit in it, only to order to take it away, Even though they have a large restaurant, it is empty. Otherwise, everything went well, they have a lot of different donuts, there was no problem with anything.",4,3 months ago
Tim Hortons,"80 Park St E, Windsor, ON N9A 3A7, Canada",4.0,Belkis Ahmed,"Worst branch . She overcooked the pizza I ordered 2 simply cheese pizza the girl got late to get it out the oven when I told her it is overcooked and crusted the sides was burned she said it looks good for me and refused to change it ,I told her I got it almost every day from other branches and it didn’t look like that, she repeats it looks good for me!?? Today 7 June 2024 on 1:04 pm",1,4 months ago
Tim Hortons,"80 Park St E, Windsor, ON N9A 3A7, Canada",4.0,Trenton Ingrim,"Got to a restaurant at 8:45PM that doesn't close til 11PM.on a Friday night.   It has a sign saying the drive through is open 24 hours.
Everything is closed down and all they sell is whatever pastries they have.  Say this is the standard way they work.
All tables, bathroom and food down.",1,a month ago
Tim Hortons,"80 Park St E, Windsor, ON N9A 3A7, Canada",4.0,KB Holdings,"Lazy and full of excuses. I ordered two steeped teas at the drive thru, I was told there wasn't enough steeped tea for two. I said its ok I'll wait, to which she replied ""I can give you bag tea."" To which I responded ""but I don't want bag tea, I want steeped tea"". Her, ""oh, well I have a lot of people waiting at the counter, so I can't make it"" I just left and went to Crawford, where they're not lazy.

I mean seriously, are you the ONLY ONE working there? Or is everyone else just as lazy and full of excuses as you? You are there to do a job, you are paid to do a job. I know my employer wouldn't keep me if all I put out was excuses for why I can't do the job I'm paid for. Maybe your employer should think about that.",1,a week ago
Tim Hortons,"80 Park St E, Windsor, ON N9A 3A7, Canada",4.0,Pathak Krishna,"The restaurant has a really good staff, they are all very welcoming and friendly. I always go there for my cofee, bcz they make it perfect. Food is always fresh. I love their everything bagels with cheese.",5,in the last week
Tim Hortons,"525 University Ave W, Windsor, ON N9A 5R4, Canada",4.0,Sumit Toliya,"Burnt Bagel at Tim Hortons

As a regular customer who spends $10-12 daily, I was really disappointed with my recent order. The bagel was completely burnt, with a hard and bitter crust. Not the quality I usually expect from Tim Hortons.",1,in the last week
Tim Hortons,"525 University Ave W, Windsor, ON N9A 5R4, Canada",4.0,Vee Ann,"I give zero stars for the food if I could.. ordered delivery via Doordash - I ordered an Iced Cap and an espresso. bag was half open, No straw. No espresso. And I didn't take any sips out of my Iced Cap that's in the photo they couldn't even bother to fill it all the way to the top.
second time I had a bad experience with THIS location!! first one was at the store.",1,3 months ago
Tim Hortons,"525 University Ave W, Windsor, ON N9A 5R4, Canada",4.0,Tiny Bird,"The layout on the inside is cramped, with poor choices for the placement of the registers leaving no room for a line to form or for people to wait for their food. The dining area and the exterior could use some work. It cost $14 for a wrap, 2 donuts and a coke. I feel this is a little over sugared and over priced. It did however, taste good. The chicken bacon ranch wrap was especially good.",4,7 months ago
Tim Hortons,"525 University Ave W, Windsor, ON N9A 5R4, Canada",4.0,Sheharyar Arshad,"I had an extremely unpleasant experience at this Tim Hortons branch. The store was noticeably dirty, and to make matters worse, there were a lot of bees inside.

Unfortunately, one of the bees bit me, causing significant swelling and pain. When I brought this to the attention of the cashier, her response was not only unhelpful but also lacked any sense of empathy. She simply said, ""What can I do?"" without even offering an apology.

This kind of customer service is unacceptable, and the store's cleanliness needs serious improvement.

I hope the management takes action to address these issues, as this was a very disappointing experience.",1,a month ago
Tim Hortons,"525 University Ave W, Windsor, ON N9A 5R4, Canada",4.0,Dawn Horton,"Love this Tim's. Go there often for my morning coffee. Fast, friendly service always. Thanks, morning crew, for helping me start my day properly, with caffeine!",5,a month ago
